epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,16826.7,0.41885,0.34921,0.00238,0.74632,0.72035,0.81297,0.60042,0.91876,0.96743,0.0044,0.0001387,0.0001387,0.0001387
89,17015.8,0.40652,0.3533,0.00223,0.75611,0.72881,0.81266,0.60856,0.91252,0.94739,0.00436,0.0001288,0.0001288,0.0001288
90,17203.4,0.42275,0.36181,0.00235,0.75391,0.75269,0.81798,0.60979,0.90748,0.93934,0.00438,0.0001189,0.0001189,0.0001189
91,17392.6,0.39328,0.31302,0.00244,0.82281,0.70603,0.82066,0.60824,0.93333,0.94789,0.00461,0.000109,0.000109,0.000109
92,17579.9,0.36526,0.3094,0.00216,0.79414,0.66768,0.79053,0.60842,0.93901,0.99548,0.00447,9.91e-05,9.91e-05,9.91e-05
93,17768,0.35562,0.29059,0.00211,0.7812,0.69917,0.80476,0.60715,0.94552,0.99044,0.00445,8.92e-05,8.92e-05,8.92e-05
94,17956.7,0.33424,0.29136,0.00193,0.77226,0.7074,0.80197,0.59994,0.9324,0.98475,0.00449,7.93e-05,7.93e-05,7.93e-05
95,18147.1,0.31394,0.27871,0.00183,0.75951,0.67204,0.78373,0.60331,0.93141,1.0003,0.00442,6.94e-05,6.94e-05,6.94e-05
96,18334.8,0.31547,0.27032,0.00178,0.73279,0.69254,0.78191,0.60228,0.93939,1.01695,0.00446,5.95e-05,5.95e-05,5.95e-05
97,18523.2,0.29939,0.26039,0.00165,0.73252,0.6824,0.78173,0.60124,0.93794,1.02833,0.00448,4.96e-05,4.96e-05,4.96e-05
98,18713,0.28999,0.25448,0.00165,0.72436,0.69841,0.78139,0.59942,0.93528,1.03118,0.00447,3.97e-05,3.97e-05,3.97e-05
99,18902.1,0.29257,0.24362,0.00167,0.71543,0.68131,0.77371,0.5967,0.93341,1.03651,0.00446,2.98e-05,2.98e-05,2.98e-05
100,19091.8,0.29019,0.24305,0.00168,0.73264,0.64485,0.77567,0.59844,0.93207,1.03449,0.00445,1.99e-05,1.99e-05,1.99e-05
